id,station,date,reporter,issue,status,dev_note
FB-001,Unit 3 Others,24/06/2025,Janarththan,12 IP20 120 Speech gap,Open,i can't do for single one can do it for every think
FB-002,Unit 3 Others,24/06/2025,Janarththan,Next order moving auto,Done,
FB-003,Unit 3 Others,24/06/2025,Janarththan,Merge order should be shown fully and each component mentioned,Done,
FB-004,Unit 3 Others,24/06/2025,Janarththan,International showing as UK,Done,
FB-005,Unit 3 Others,24/06/2025,Janarththan,"3 types of pipe (not painted, black, galvanized)",Open,i can't do for single one can do it for every think
FB-006,Unit 3 Others,25/06/2025,Matheesan,next day sticker speak,Open,not found in the packlist
FB-007,Unit 3 Others,25/06/2025,Matheesan,hold button create,Done,
FB-008,Unit 3 Others,25/06/2025,Matheesan,"services telling - evri, royal mail",Open,not found in the packlist
FB-009,Unit 3 Others,25/06/2025,Matheesan,2 times speak,Done,
FB-010,Unit 3 Others,25/06/2025,Matheesan,re speak button,Done,
FB-011,Unit 3 Others,25/06/2025,Matheesan,"prime,cable, transformer,others telling speak then continue",Open,i can't do for single one can do it for every think
FB-012,Unit 3 Others,25/06/2025,Matheesan,pause button not complte work,Done,
FB-013,Unit 3 Others,26/06/2025,Janarththan,cable 10 meter speak,Done,
FB-014,Unit 3 Others,26/06/2025,Janarththan,total component,Done,
FB-015,Unit 3 Others,26/06/2025,Janarththan,3 CORE BROWN 10 METER,Done,
FB-016,Unit 3 Others,26/06/2025,Janarththan,SLOW DOWN SPEAK,Done,
FB-017,Unit 3 Others,26/06/2025,Janarththan,NAME QUANTITY NOT,Done,
FB-018,Unit 3 Others,26/06/2025,Janarththan,after postcode free gap need,Done,
FB-019,Unit 3 Others,26/06/2025,Janarththan,telling combo start & end,Done,
FB-020,Unit 3 Others,26/06/2025,Janarththan,hold screen shot,Done,
FB-021,Unit 3 Others,26/06/2025,Janarththan,mapping merge,Done,
FB-022,Unit 3 Others,29/06/2025,Janarththan,24 IP67 150 Watts - Sixy seven thousand ???,Done,
FB-023,Unit 3 Others,29/06/2025,Janarththan,Sometimes next not working,Done,
FB-024,Unit 3 Others,29/06/2025,Janarththan,Don't auto moving to next order,Done,
FB-025,Unit 3 Others,07/07/2025,Atisraj,Address Issue Cant Show,Done,
FB-026,Unit 3 Others,07/07/2025,Atisraj,IP20 000 issue,Done,
FB-027,Unit 3 Others,07/07/2025,Atisraj,z ahh c endu speaking issue,Done,
FB-028,Unit 3 Others,07/07/2025,Atisraj,automatic hold issue,Done,
FB-029,Unit 3 Others,07/07/2025,Atisraj,Quantity should be with meters for cables,Done,
FB-030,Unit 3 Others,08/07/2025,Atisraj,Us english female voice mathiri Uk english voice vantha better,Done,
FB-031,Unit 3 Others,08/07/2025,Atisraj,Cables Quantity 5 endu varama 5 Meter endu varanum,Done,
FB-032,Unit 3 Others,08/07/2025,Atisraj,12 voltage endu add aakanum,Open,this is for add name sheet
FB-033,Unit 3 Others,08/07/2025,Atisraj,12 ip20 20  idaila gap varanum,Done,
FB-034,Unit 3 Others,08/07/2025,Atisraj,Automatic Hold Issue,Done,
FB-035,Unit 3 Others,09/07/2025,Matheesan,merge & combo orders same time both names speak,Open,not possible for this
FB-036,Unit 3 Others,10/07/2025,Matheesan,merge & combo orders same time both names speak,Open,not possible for this
FB-037,Unit 3 Others,13/07/2025,Janarththan,Post code not shown when 2 postcode same,Done,
FB-038,Unit 3 Others,13/07/2025,Janarththan,Merge and combo product should be speak auto one after other,Open,i can't do for single one can do it for every think
FB-039,Unit 3 Others,13/07/2025,Janarththan,Color code issue,Done,
FB-040,Unit 3 Others,15/07/2025,Matheesan,PE11 3TY wrong speak 20 thousand,Done,
FB-041,Unit 3 Others,15/07/2025,Matheesan,combo orders like speak merge,Done,
FB-042,Unit 3 Others,15/07/2025,Matheesan,2625-717 international address showing uk name,Done,
FB-043,Unit 3 Others,16/07/2025,Pirakasana,SPSDP2BMY - add the name of black cord grip gold top,Done,
FB-044,Unit 3 Others,16/07/2025,Pirakasana,accessories image sethu vantha kaanum,Done,
FB-045,Unit 3 Others,16/07/2025,Pirakasana,cable 5m kku 1m endu solluthu CT20 2ED,Done,
